RegionC;Województwo
3201;dolnośląskie
3202;kujawsko-pomorskie
3203;lubelskie
3204;lubuskie
3205;łódzkie
3206;małopolskie
3207;mazowieckie
3208;opolskie
3209;podkarpackie
3210;podlaskie
3211;pomorskie
3212;śląskie
3213;świętokrzyskie
3214;warmińsko-mazurskie
3215;wielkopolskie
3216;zachodniopomorskie)
